date,ticker,low,high,open,close
20050419,GOOG,188.03,192,189.33,191.4
20050420,GOOG,195.91,200.5,198.58,198.1
20050421,GOOG,199.32,205,200.42,204.22
20050422,GOOG,214.26,224,222.5,215.81
20050425,GOOG,217.52,224.74,217.7,223.53
20050426,GOOG,218.29,222,220.22,218.75
20050427,GOOG,216.74,220.85,217.99,219.78
20050428,GOOG,217.71,222.08,219.56,219.45
20050429,GOOG,217.82,222.25,222.17,220
20050502,GOOG,220.21,223.7,222.05,222.29
20050503,GOOG,221.32,228.15,221.85,226.19
20050504,GOOG,226.999,229.88,227.23,228.5
20050505,GOOG,225.88,228.62,228.62,226.98
20050506,GOOG,226.47,229.25,228.4,228.02
20050509,GOOG,225.43,228.5,228,226.02
20050510,GOOG,224.72,227.8,225.25,227.8
20050511,GOOG,227.93,231.98,228.97,231.29
20050512,GOOG,228.2,232.23,230.71,228.72
20050513,GOOG,227.32,231.09,229.18,229.24
20050516,GOOG,228.57,231.62,229.68,231.05
20050517,GOOG,230.2,233.45,230.54,233.13
20050518,GOOG,233.52,239.97,233.61,239.16
20050519,GOOG,238.27,241.17,240.34,239.18
20050520,GOOG,239.65,241.67,240.98,241.61
20050523,GOOG,242.71,258.1,243.22,255.45
20050524,GOOG,253.5,265.44,256.85,256
20050525,GOOG,250.63,260.98,252.73,260.81
20050526,GOOG,258.3,263.76,260.96,259.2
20050527,GOOG,259.25,266.05,260.46,266
20050531,GOOG,269.37,278.4,269.43,277.27
20050601,GOOG,282.02,292.89,283.05,288
20050602,GOOG,284.6,289.78,288.85,287.9
20050603,GOOG,277.41,289.3,286.79,280.26
20050606,GOOG,281.83,293.75,282.36,290.94
20050607,GOOG,290.3,299.59,297.5,293.12
20050608,GOOG,278,293.19,292.85,279.56
20050609,GOOG,280.56,288.5,284.72,286.31
20050610,GOOG,280.02,287.28,287,282.5
20050613,GOOG,276.52,284.19,279.82,282.75
20050614,GOOG,277.75,281.24,278.59,278.35
20050615,GOOG,267.43,277.3,275,274.8
20050616,GOOG,273.07,278.3,274.26,277.44
20050617,GOOG,275.9,280.3,279,280.3
20050620,GOOG,271.73,287.672,276.09,286.7
20050621,GOOG,284.97,290.3,288.07,287.84
20050622,GOOG,288.67,292.32,289.69,289.3
20050623,GOOG,286.5,294.81,287.91,289.71
20050624,GOOG,289.58,298,290.95,297.25
20050627,GOOG,293.86,304.47,299,304.1
20050628,GOOG,302,309.25,306.56,302
20050629,GOOG,292.15,304.38,302.67,292.72
20050630,GOOG,291.04,298.93,294.34,294.15
20050701,GOOG,289.22,296.24,295.08,291.25
20050705,GOOG,290.23,295.98,292.1,295.71
20050706,GOOG,291.38,297.6,297.3,291.525
20050707,GOOG,288.51,295.8,289.39,295.54
20050708,GOOG,294.05,297.5,296.01,296.23
20050711,GOOG,291.02,296.6,296.4,293.35
20050712,GOOG,290.93,294.4,293.39,291.784
20050713,GOOG,292.1,299.24,292.51,298.86
20050714,GOOG,300.07,306.75,305.34,300.89
20050715,GOOG,299.78,303.4,301.24,301.19
20050718,GOOG,297.75,301.9,300,299.54
20050719,GOOG,301.8,310.35,302.1,309.9
20050720,GOOG,301.8,312.6088,305.57,312
20050721,GOOG,311.21,317.8,314.05,313.94
20050722,GOOG,296.33,309.25,306.56,302.4
20050725,GOOG,294.96,303.29,302.39,295.85
20050726,GOOG,292.09,298,295.01,296.09
20050727,GOOG,292.4,298.23,298.23,296.93
20050728,GOOG,293.28,297.41,297.41,293.5
20050729,GOOG,286.99,292.84,292.84,287.76
20050801,GOOG,288.1,292.5,288.12,291.6099
20050802,GOOG,291.12,299.52,291.45,299.19
20050803,GOOG,295.6,299.72,298,297.3
20050804,GOOG,295.25,299,295.55,297.73
20050805,GOOG,291.31,298.51,297.5,292.35
20050808,GOOG,290.49,295.65,293.6,291.25
20050809,GOOG,288.51,292.68,291.96,291.57
20050810,GOOG,284.88,292.33,291.3,285.68
20050811,GOOG,280.62,286.58,285.89,284.05
20050812,GOOG,281.64,290.2,283.36,289.721
20050815,GOOG,283.77,292.77,289.8,284
20050816,GOOG,283.34,287.79,284.88,285.65
20050817,GOOG,284,286.57,285.51,285.1
20050818,GOOG,275,280.5,275.97,279.99
20050819,GOOG,279.62,281.45,280.99,280
20050822,GOOG,273.35,281.47,281.08,274.01
20050823,GOOG,274.12,279.74,276.16,279.58
20050824,GOOG,276.45,284.75,277.57,282.57
20050825,GOOG,279.97,284,282.55,282.59
20050826,GOOG,282.66,285.02,283.48,283.58
20050829,GOOG,282.24,289.12,282.24,288.45
20050830,GOOG,285.88,289.51,287.39,287.27
20050831,GOOG,284.36,288.5,288.23,286
20050901,GOOG,285,287.5,285.91,286.25
20050902,GOOG,286.44,289.99,286.51,288.45
20050906,GOOG,286.8,289.39,289,287.11
20050907,GOOG,285.28,295.5,285.89,294.87
20050908,GOOG,293.36,299.28,294.83,295.39
20050909,GOOG,296.56,299.1,297.28,299.09
20050912,GOOG,301,311.42,301.75,309.74
20050913,GOOG,306.17,315.53,309,311.68
20050914,GOOG,300.3,313.28,308.73,303
20050915,GOOG,297.91,306.75,299.52,302.62
20050916,GOOG,299.87,304.5,304.02,300.2
20050919,GOOG,300.71,306,301,303.79
20050920,GOOG,305.23,311.3,306.15,307.91
20050921,GOOG,305.96,313.76,308.41,311.9
20050922,GOOG,310.17,319.22,311.5,311.37
20050923,GOOG,312.59,317.21,313,315.36
20050926,GOOG,312.56,320.95,319.5,314.28
20050927,GOOG,313.38,318.41,314.95,313.94
20050928,GOOG,305.6,315.1,314.22,306
20050929,GOOG,306.08,310.72,306.68,309.62
20050930,GOOG,312.29,317.5,314.22,316.46
20051003,GOOG,312.79,320.11,313.63,318.68
20051004,GOOG,310.74,321.28,319.95,311
20051005,GOOG,308,314.9,312.69,310.71
20051006,GOOG,310.09,314.48,314.14,312.75
